Symbol,Security,SEC,GICS Sector,GICS Sub Industry,Headquarters,CIK
A,Agilent Technologies Inc,reports,Health Care,Health Care Equipment & Services,"Santa Clara, California",1090872
AA,Alcoa Inc,reports,Materials,Aluminum,"New York, New York",4281
AAL,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",6201
AAP,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Roanoke, Virginia",1158449
AAPL,Apple Inc.,reports,Information Technology,Computer Hardware,"Cupertino, California",320193
ABBV,AbbVie,reports,Health Care,Pharmaceuticals,"North Chicago, Illinois",1551152
ABC,AmerisourceBergen Corp,reports,Health Care,Health Care Distribution & Services,"Chesterbrook, Pennsylvania",1140859
ABT,Abbott Laboratories,reports,Health Care,Health Care Equipment & Services,"North Chicago, Illinois",1800
ACE,ACE Limited,reports,Financials,Property & Casualty Insurance,"Zurich, Switzerland",896159
ACN,Accenture plc,reports,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",1467373
ADBE,Adobe Systems Inc,reports,Information Technology,Application Software,"San Jose, California",796343
ADI,"Analog Devices, Inc.",reports,Information Technology,Semiconductors,"Norwood, Massachusetts",6281
ADM,Archer-Daniels-Midland Co,reports,Consumer Staples,Agricultural Products,"Decatur, Illinois",7084
ADP,Automatic Data Processing,reports,Information Technology,Internet Software & Services,"Roseland, New Jersey",8670
ADS,Alliance Data Systems,reports,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",1101215
ADSK,Autodesk Inc,reports,Information Technology,Application Software,"San Rafael, California",769397
ADT,ADT Corp,reports,Industrials,Diversified Commercial Services,"Boca Raton, Florida",1546640
AEE,Ameren Corp,reports,Utilities,MultiUtilities,"St. Louis, Missouri",1002910
AEP,American Electric Power,reports,Utilities,Electric Utilities,"Columbus, Ohio",4904
AES,AES Corp,reports,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",874761
AET,Aetna Inc,reports,Health Care,Managed Health Care,"Hartford, Connecticut",1122304
AFL,AFLAC Inc,reports,Financials,Life & Health Insurance,"Columbus, Georgia",4977
