Predicted Price (Real),Actual Price (Real),Error (Real),Predicted Price (Normalized),Actual Price (Normalized),Predicted Percent Change (Real),Actual Percent Change (Real),Predicted Percent Change (Normalized),Actual Percent Change (Normalized)
13.2886,14.3587,-3.74983,-0.0478665,-0.0490696,-0.0925648,-0.019488,0.453718,0.490256
13.1935,15.4297,5.61996,-0.0284507,-0.0299214,-0.122292,0.0264704,0.438854,0.513235
13.242,15.2255,20.4069,-0.0237201,-0.0248017,-0.124688,0.00642493,0.437656,0.503212
14.8919,16.3205,2.35213,0.00492551,0.00507743,-0.0522643,0.0386532,0.473868,0.519327
14.8824,16.36,4.52302,0.0207985,0.0214531,-0.0717834,0.0203755,0.464108,0.510188
13.9424,15.3035,-3.77436,0.00242685,0.00249981,-0.109914,-0.0230217,0.445043,0.488489
14.2967,16.449,5.4184,0.021439,0.0224334,-0.10934,0.0247466,0.44533,0.512373
14.4508,16.4083,10.9216,0.0301307,0.0313881,-0.109577,0.0110443,0.445212,0.505522
14.8605,16.4867,12.573,0.0366493,0.0379021,-0.0915121,0.00790736,0.454244,0.503954
15.5412,16.4714,16.2945,0.0399766,0.0407453,-0.0531914,0.00347782,0.473404,0.501739
15.09,16.5256,25.7487,0.0423072,0.0435718,-0.0837799,0.00338522,0.45811,0.501693
15.0939,15.3518,-0.469484,0.0143288,0.0144076,-0.0507574,-0.034541,0.474621,0.482729
14.9369,15.9513,40.2914,0.0155246,0.0158611,-0.0621137,0.00158085,0.468943,0.50079
14.8094,15.1732,-0.978176,-0.00348118,-0.00350877,-0.0473263,-0.0239242,0.476337,0.488038
14.2146,15.8775,9.94994,0.0047207,0.00489272,-0.0952113,0.0106382,0.452394,0.505319
14.0303,16.1769,9.13718,0.015996,0.0167438,-0.119916,0.0147368,0.440042,0.507368
14.6347,17.1796,4.037,0.0457294,0.0481674,-0.115684,0.0380914,0.442158,0.519046
14.5231,16.173,-8.82161,0.036515,0.0377902,-0.112279,-0.0114318,0.443861,0.494284
14.2227,15.8065,-5.77234,0.0228168,0.0235959,-0.115556,-0.0170629,0.442222,0.491469
14.457,16.7087,7.10506,0.0379969,0.039808,-0.118033,0.0193336,0.440984,0.509667
13.8061,16.1545,-19.867,0.0317997,0.0334108,-0.151577,-0.00726395,0.424211,0.496368
14.4372,16.0986,-19.1285,0.0280032,0.0289971,-0.108008,-0.00536592,0.445996,0.497317
14.7091,15.4814,-2.21896,0.0106786,0.0108565,-0.0707778,-0.0219878,0.464611,0.489006
14.4892,16.4278,6.42125,0.0251407,0.0261834,-0.101492,0.0187212,0.449254,0.509361
14.0484,15.7759,-9.926,0.0163859,0.017002,-0.119219,-0.0109115,0.44039,0.494544
14.7261,16.3439,8.16234,0.0262365,0.0271392,-0.0879256,0.0122761,0.456037,0.506138
14.4483,15.94,-14.5478,0.0210553,0.0217302,-0.0993726,-0.00639142,0.450314,0.496804
15.3127,17.6444,2.84352,0.0597249,0.0625691,-0.0898499,0.0487383,0.455075,0.524369
16.131,18.3332,2.85776,0.0964435,0.100587,-0.0815153,0.0438782,0.459242,0.521939
15.0678,17.4438,-40.0455,0.0916517,0.0960006,-0.139136,-0.00338981,0.430432,0.498305
15.1445,16.9858,-7.17154,0.0794866,0.0824355,-0.121677,-0.0148903,0.439162,0.492555
15.8375,17.7811,7.16173,0.0933748,0.0969433,-0.0955012,0.0154991,0.452249,0.50775
14.951,17.5203,485.355,0.0919955,0.0967245,-0.146387,0.000302232,0.426806,0.500151
