Predicted Price (Real),Actual Price (Real),Error (Real),Predicted Price (Normalized),Actual Price (Normalized),Predicted Percent Change (Real),Actual Percent Change (Real),Predicted Percent Change (Normalized),Actual Percent Change (Normalized)
15.6678,14.3587,4.58709,-0.0505414,-0.0490696,0.0699051,-0.019488,0.534953,0.490256
16.1484,15.4297,-1.80621,-0.0303941,-0.0299214,0.0742815,0.0264704,0.537141,0.513235
16.2357,15.2255,-10.3928,-0.0253525,-0.0248017,0.073198,0.00642493,0.536599,0.503212
15.4896,16.3205,1.36805,0.00498907,0.00507743,-0.0142262,0.0386532,0.492887,0.519327
16.3453,16.36,0.0448113,0.0214466,0.0214531,0.0194624,0.0203755,0.509731,0.510188
16.8048,15.3035,4.16334,0.0025803,0.00249981,0.0728254,-0.0230217,0.536413,0.488489
17.2536,16.449,-2.02556,0.0228052,0.0224334,0.0748722,0.0247466,0.537436,0.512373
17.4144,16.4083,-5.6127,0.0320343,0.0313881,0.0730326,0.0110443,0.536516,0.505522
17.1876,16.4867,-5.4187,0.038442,0.0379021,0.050755,0.00790736,0.525377,0.503954
15.3093,16.4714,20.3561,0.0397849,0.0407453,-0.067317,0.00347782,0.466341,0.501739
16.9181,16.5256,-7.04042,0.0439175,0.0435718,0.0272186,0.00338522,0.513609,0.501693
14.8003,15.3518,-1.00401,0.0142391,0.0144076,-0.0692206,-0.034541,0.46539,0.482729
15.8845,15.9513,2.65371,0.015839,0.0158611,-0.00261426,0.00158085,0.498693,0.50079
14.7298,15.1732,-1.19231,-0.00347514,-0.00350877,-0.0524492,-0.0239242,0.473775,0.488038
16.742,15.8775,-5.17268,0.00498215,0.00489272,0.0656663,0.0106382,0.532833,0.505319
17.2056,16.1769,-4.37848,0.0171022,0.0167438,0.0792615,0.0147368,0.539631,0.507368
17.796,17.1796,-0.977891,0.048758,0.0481674,0.0753407,0.0380914,0.53767,0.519046
17.5293,16.173,7.25215,0.0388385,0.0377902,0.0714733,-0.0114318,0.535737,0.494284
17.2757,15.8065,5.35446,0.0243186,0.0235959,0.0742997,-0.0170629,0.53715,0.491469
17.6564,16.7087,-2.99044,0.0405703,0.039808,0.0771496,0.0193336,0.538575,0.509667
17.5031,16.1545,11.4089,0.034336,0.0334108,0.07561,-0.00726395,0.537805,0.496368
17.2654,16.0986,13.4349,0.0296951,0.0289971,0.0667246,-0.00536592,0.533362,0.497317
15.9336,15.4814,1.2992,0.0109606,0.0108565,0.00657866,-0.0219878,0.503289,0.489006
17.1937,16.4278,-2.53704,0.0265953,0.0261834,0.0662176,0.0187212,0.533109,0.509361
17.1709,15.7759,8.01576,0.0174994,0.017002,0.0765524,-0.0109115,0.538276,0.494544
16.8887,16.3439,-2.74859,0.0274432,0.0271392,0.046018,0.0122761,0.523009,0.506138
